alg_seis: .word 16, 16
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,
0,0,0,0,0,0,9,173,255,255,255,91,0,0,0,0,
0,0,0,0,0,0,182,173,82,9,82,82,0,0,0,0,
0,0,0,0,0,91,255,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,182,173,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,255,164,91,173,164,91,0,0,0,0,0,
0,0,0,0,0,255,255,173,91,164,255,164,0,0,0,0,
0,0,0,0,0,255,91,0,0,0,164,255,0,0,0,0,
0,0,0,0,0,255,91,0,0,0,82,255,0,0,0,0,
0,0,0,0,0,173,173,0,0,0,164,246,0,0,0,0,
0,0,0,0,0,91,255,82,9,82,255,91,0,0,0,0,
0,0,0,0,0,0,164,255,255,255,164,0,0,0,0,0,
0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


